vehicle_id,depart_time,arrive_time,travel_time,is_controlled_vehicle,is_teleported_vehicle
veh14400,25201,25732.0,531.0,False,False
truck3600,25201,25559.0,358.0,False,False
bike3015,25201,25901.0,700.0,False,False
moto200,25201,25561.0,360.0,False,False
veh14401,25202,25905.0,703.0,True,False
veh14402,25203,25547.0,344.0,False,False
truck3601,25204,26030.0,826.0,True,False
veh14403,25204,25952.0,748.0,True,False
bike3016,25205,25794.0,589.0,False,False
veh14404,25205,25778.0,573.0,True,False
veh14405,25206,25611.0,405.0,False,False
veh14406,25207,25305.0,98.0,False,False
truck3602,25207,26516.0,1309.0,True,True
veh14407,25208,25678.0,470.0,False,False
veh14408,25209,25885.0,676.0,False,False
bike3017,25209,26273.0,1064.0,False,True
veh14409,25210,26675.0,1465.0,True,False
truck3603,25210,25440.0,230.0,False,False
veh14410,25211,25298.0,87.0,False,False
veh14411,25212,26043.0,831.0,True,False
bike3018,25212,25966.0,754.0,False,False
veh14412,25213,25879.0,666.0,True,False
truck3604,25213,25399.0,186.0,False,False
veh14413,25214,25406.0,192.0,False,False
veh14414,25215,25441.0,226.0,False,False
veh14415,25216,25720.0,504.0,False,False
truck3605,25216,26146.0,930.0,False,False
bike3019,25216,25794.0,578.0,False,False
veh14417,25218,25701.0,483.0,True,False
veh14418,25219,25660.0,441.0,True,False
truck3606,25219,26266.0,1047.0,False,False
bike3020,25219,26087.0,868.0,True,False
veh14419,25220,27464.0,2244.0,False,False
veh14420,25221,25393.0,172.0,False,False
veh14421,25222,25408.0,186.0,False,False
truck3607,25222,25789.0,567.0,True,False
veh14422,25223,25491.0,268.0,False,False
bike3021,25223,25806.0,583.0,False,False
veh14423,25224,25365.0,141.0,False,False
veh14424,25225,26004.0,779.0,False,False
truck3608,25225,25614.0,389.0,False,False
veh14425,25226,25639.0,413.0,False,False
veh14426,25227,26373.0,1146.0,True,False
bike3022,25227,25447.0,220.0,False,False
veh14427,25228,25534.0,306.0,False,False
truck3609,25228,25568.0,340.0,False,False
veh14428,25229,25640.0,411.0,True,False
veh14429,25230,26078.0,848.0,True,False
bike3023,25230,25861.0,631.0,False,False
veh14430,25231,26626.0,1395.0,False,False
truck3610,25231,25375.0,144.0,False,False
veh14431,25232,25767.0,535.0,False,False
veh14432,25233,25689.0,456.0,False,False
veh14433,25234,25822.0,588.0,False,False
truck3611,25234,25559.0,325.0,False,False
bike3024,25234,27005.0,1771.0,False,False
veh14434,25235,25406.0,171.0,False,False
veh14435,25236,25822.0,586.0,False,False
moto201,25237,25458.0,221.0,False,False
veh14436,25237,25364.0,127.0,False,False
truck3612,25237,25693.0,456.0,False,False
veh14437,25238,25725.0,487.0,True,False
veh14438,25239,25781.0,542.0,False,False
veh14439,25240,25300.0,60.0,False,False
truck3613,25240,25646.0,406.0,False,False
veh14440,25241,26186.0,945.0,False,False
bike3026,25241,25861.0,620.0,False,False
veh14441,25242,25481.0,239.0,False,False
veh14442,25243,25985.0,742.0,True,False
truck3614,25243,25926.0,683.0,False,False
veh14443,25244,25615.0,371.0,False,False
bike3027,25244,25654.0,410.0,False,False
veh14444,25245,25817.0,572.0,False,False
veh14445,25246,26099.0,853.0,True,False
truck3615,25246,25445.0,199.0,False,False
veh14446,25247,26088.0,841.0,False,False
veh14447,25248,25470.0,222.0,False,False
veh14448,25249,25577.0,328.0,False,False
veh14449,25250,26162.0,912.0,True,False
3-1-1003-24240.0,25251,26376.0,1125.0,False,False
veh14450,25251,25605.0,354.0,False,False
veh14451,25252,25844.0,592.0,False,False
bike3029,25252,25318.0,66.0,False,False
veh14452,25253,25883.0,630.0,False,False
veh14453,25254,26271.0,1017.0,False,False
truck3617,25255,25948.0,693.0,False,True
veh14454,25255,26859.0,1604.0,False,False
truck3618,25255,25447.0,192.0,True,False
bike3030,25255,25684.0,429.0,False,False
veh14455,25256,25976.0,720.0,False,False
veh14456,25257,26504.0,1247.0,False,False
veh14457,25258,26154.0,896.0,False,False
truck3619,25258,25579.0,321.0,False,False
veh14458,25259,26233.0,974.0,True,False
bike3031,25259,26085.0,826.0,False,False
veh14460,25261,25749.0,488.0,False,False
truck3620,25261,25570.0,309.0,False,False
veh14461,25262,26062.0,800.0,True,False
bike3032,25262,25717.0,455.0,False,False
veh14462,25263,25398.0,135.0,False,False
veh14463,25264,26363.0,1099.0,True,False
truck3621,25264,26219.0,955.0,False,False
veh14464,25265,25446.0,181.0,False,False
veh14465,25266,25603.0,337.0,False,False
bike3033,25266,25657.0,391.0,False,False
veh14466,25267,25770.0,503.0,False,False
truck3622,25267,25432.0,165.0,False,False
veh14467,25268,25736.0,468.0,True,False
veh14468,25269,25982.0,713.0,False,False
veh14469,25270,25427.0,157.0,False,False
bike3034,25270,25958.0,688.0,False,False
veh14470,25271,25569.0,298.0,False,False
veh14471,25272,25652.0,380.0,False,False
veh14472,25273,26105.0,832.0,False,False
truck3624,25273,25529.0,256.0,False,False
bike3035,25273,25711.0,438.0,False,False
moto202,25273,26154.0,881.0,True,False
veh14473,25274,25685.0,411.0,True,False
veh14474,25275,25762.0,487.0,False,False
veh14475,25276,25363.0,87.0,False,False
truck3625,25276,26016.0,740.0,False,False
veh14476,25277,25771.0,494.0,False,False
bike3036,25277,25673.0,396.0,False,False
veh14477,25278,25946.0,668.0,False,False
veh14478,25279,25743.0,464.0,False,False
truck3626,25279,25799.0,520.0,False,False
veh14479,25280,26096.0,816.0,False,False
bike3037,25280,25967.0,687.0,False,False
veh14480,25281,26307.0,1026.0,True,False
veh14481,25282,25574.0,292.0,False,False
truck3627,25282,25514.0,232.0,False,False
veh14483,25284,25695.0,411.0,False,False
bike3038,25284,26017.0,733.0,False,False
veh14484,25285,25613.0,328.0,False,False
truck3628,25285,26198.0,913.0,True,False
veh14485,25286,25650.0,364.0,True,False
veh14486,25287,25428.0,141.0,False,False
bike3039,25287,25973.0,686.0,False,False
veh14487,25288,25635.0,347.0,True,False
truck3629,25288,26040.0,752.0,True,False
veh14488,25289,25905.0,616.0,False,False
veh14489,25290,25714.0,424.0,False,False
veh14490,25291,26068.0,777.0,False,False
truck3630,25291,25916.0,625.0,False,False
bike3040,25291,25581.0,290.0,False,False
veh14491,25292,26265.0,973.0,False,False
veh14492,25293,25437.0,144.0,False,False
veh14493,25294,25660.0,366.0,False,False
truck3631,25294,26569.0,1275.0,False,False
veh14494,25295,26087.0,792.0,True,False
bike3041,25295,26172.0,877.0,False,False
veh14495,25296,25811.0,515.0,False,False
veh14496,25297,25995.0,698.0,False,False
veh14497,25298,25956.0,658.0,False,False
bike3042,25298,26667.0,1369.0,True,False
veh14498,25299,25820.0,521.0,False,False
veh14499,25300,25909.0,609.0,False,False
truck3633,25300,26284.0,984.0,False,False
veh14500,25301,25666.0,365.0,False,False
veh14501,25302,25550.0,248.0,False,False
bike3043,25302,25993.0,691.0,True,False
veh14502,25303,25546.0,243.0,False,False
truck3634,25303,25380.0,77.0,False,False
veh14503,25304,26344.0,1040.0,False,True
bike3044,25305,26390.0,1085.0,False,False
veh14505,25306,26211.0,905.0,True,False
truck3635,25306,26219.0,913.0,True,False
veh14506,25307,26264.0,957.0,True,False
veh14507,25308,25944.0,636.0,True,False
veh14508,25309,26052.0,743.0,False,False
truck3636,25309,26172.0,863.0,False,False
bike3045,25309,25876.0,567.0,False,False
moto203,25309,25407.0,98.0,False,False
veh14509,25310,26186.0,876.0,False,False
65-2-1-25320.0,25311,26906.0,1595.0,True,True
7-2-1007-24240.0,25311,26216.0,905.0,True,False
truck3637,25312,26643.0,1331.0,True,False
veh14512,25313,25944.0,631.0,True,False
bike3046,25313,26003.0,690.0,False,False
veh14513,25314,25425.0,111.0,False,False
veh14514,25315,26188.0,873.0,False,False
truck3638,25315,25750.0,435.0,False,False
veh14515,25316,25702.0,386.0,False,False
bike3047,25316,26060.0,744.0,False,False
veh14516,25317,26030.0,713.0,False,False
veh14517,25318,26036.0,718.0,False,False
truck3639,25318,25658.0,340.0,False,False
veh14518,25319,25607.0,288.0,False,False
bike3048,25320,26389.0,1069.0,False,False
truck3640,25321,26166.0,845.0,False,False
veh14520,25322,25759.0,437.0,False,False
veh14521,25322,25962.0,640.0,False,False
veh14522,25323,25448.0,125.0,False,False
bike3049,25323,25649.0,326.0,False,False
veh14523,25324,25714.0,390.0,False,False
truck3641,25324,25868.0,544.0,False,False
veh14524,25325,27440.0,2115.0,False,True
veh14525,25326,25835.0,509.0,True,False
veh14526,25327,26394.0,1067.0,False,False
truck3642,25327,25784.0,457.0,True,False
bike3050,25327,26012.0,685.0,False,False
veh14527,25328,25507.0,179.0,False,False
veh14528,25329,25906.0,577.0,True,False
veh14529,25330,25862.0,532.0,False,False
truck3643,25330,26370.0,1040.0,False,False
bike3051,25330,25743.0,413.0,False,False
veh14530,25331,26156.0,825.0,False,False
veh14531,25332,26497.0,1165.0,True,False
veh14532,25333,26000.0,667.0,False,False
veh14533,25334,25671.0,337.0,False,False
veh14534,25335,25611.0,276.0,False,False
veh14535,25336,25632.0,296.0,False,False
truck3645,25336,25744.0,408.0,False,False
veh14536,25337,26049.0,712.0,False,False
veh14537,25338,26196.0,858.0,False,False
bike3053,25338,25573.0,235.0,False,False
veh14538,25339,26406.0,1067.0,False,False
truck3646,25339,25656.0,317.0,False,False
veh14539,25340,25525.0,185.0,False,False
bike3054,25341,26125.0,784.0,True,False
veh14541,25342,25553.0,211.0,True,False
truck3647,25342,25990.0,648.0,False,False
veh14542,25343,25872.0,529.0,False,False
veh14543,25344,25758.0,414.0,False,False
veh14544,25345,26036.0,691.0,False,False
truck3648,25345,26258.0,913.0,False,False
bike3055,25345,26052.0,707.0,False,False
moto204,25345,26517.0,1172.0,False,False
veh14545,25346,25768.0,422.0,True,False
veh14546,25347,25893.0,546.0,False,False
veh14547,25348,25997.0,649.0,False,False
truck3649,25348,26683.0,1335.0,True,True
bike3056,25348,26337.0,989.0,False,False
veh14548,25349,27383.0,2034.0,False,True
veh14549,25350,25817.0,467.0,False,False
veh14550,25351,25628.0,277.0,False,False
truck3650,25351,25412.0,61.0,False,False
veh14551,25352,25513.0,161.0,False,False
bike3057,25352,26549.0,1197.0,False,False
veh14552,25353,26566.0,1213.0,False,False
veh14553,25354,26132.0,778.0,False,False
truck3651,25354,26692.0,1338.0,False,False
veh14554,25355,26292.0,937.0,True,False
veh14555,25356,26375.0,1019.0,True,False
bike3058,25356,26814.0,1458.0,False,False
veh14556,25357,26562.0,1205.0,False,False
truck3652,25357,25813.0,456.0,False,False
veh14557,25358,25748.0,390.0,False,False
veh14558,25359,25602.0,243.0,False,False
bike3059,25359,27866.0,2507.0,False,False
veh14559,25360,25454.0,94.0,False,False
truck3653,25360,25893.0,533.0,False,False
veh14560,25361,26162.0,801.0,False,False
veh14562,25363,25658.0,295.0,False,False
truck3654,25363,25905.0,542.0,False,False
bike3060,25363,25983.0,620.0,True,False
veh14563,25364,26049.0,685.0,False,False
veh14565,25366,26138.0,772.0,False,False
truck3655,25366,26193.0,827.0,False,False
bike3061,25366,26442.0,1076.0,True,True
veh14566,25367,25899.0,532.0,False,False
veh14567,25368,25740.0,372.0,False,False
veh14568,25369,26310.0,941.0,False,False
veh14569,25370,25973.0,603.0,False,False
bike3062,25370,27358.0,1988.0,False,False
62-822-1-25080.0,25371,28139.0,2768.0,False,True
4-11-1004-24000.0,25371,26164.0,793.0,False,False
6-202-1-25140.0,25371,26510.0,1139.0,False,False
veh14570,25371,25973.0,602.0,False,False
truck3657,25372,26044.0,672.0,False,False
veh14572,25373,25679.0,306.0,False,False
bike3063,25373,25693.0,320.0,False,False
veh14573,25374,25725.0,351.0,False,False
veh14575,25376,26337.0,961.0,True,False
veh14576,25377,25817.0,440.0,False,False
bike3064,25377,27015.0,1638.0,False,False
veh14577,25378,25917.0,539.0,False,False
truck3659,25378,25554.0,176.0,False,False
veh14578,25379,25643.0,264.0,True,False
veh14579,25380,25577.0,197.0,False,False
veh14580,25381,26976.0,1595.0,True,False
truck3660,25381,26017.0,636.0,False,False
bike3065,25381,26049.0,668.0,False,False
moto205,25381,25742.0,361.0,False,False
veh14581,25382,25488.0,106.0,False,False
veh14582,25383,26806.0,1423.0,False,False
veh14583,25384,25784.0,400.0,False,False
truck3661,25384,26219.0,835.0,False,False
bike3066,25384,26450.0,1066.0,False,False
veh14584,25385,25500.0,115.0,False,False
veh14585,25386,25514.0,128.0,False,False
veh14586,25387,25601.0,214.0,True,False
truck3662,25387,26331.0,944.0,False,False
veh14587,25388,26828.0,1440.0,False,False
bike3067,25388,26927.0,1539.0,False,False
veh14588,25389,25541.0,152.0,False,False
veh14589,25390,25809.0,419.0,False,False
truck3663,25390,26123.0,733.0,True,False
veh14590,25391,25700.0,309.0,False,False
bike3068,25391,25599.0,208.0,False,False
veh14591,25392,26072.0,680.0,True,False
veh14592,25393,26394.0,1001.0,False,False
truck3664,25393,25732.0,339.0,False,False
veh14593,25394,25638.0,244.0,False,False
veh14594,25395,26457.0,1062.0,False,False
bike3069,25395,26989.0,1594.0,True,True
veh14595,25396,26841.0,1445.0,False,False
truck3665,25396,27822.0,2426.0,False,False
veh14596,25397,25997.0,600.0,False,False
veh14597,25398,25667.0,269.0,False,False
veh14598,25399,25606.0,207.0,True,False
truck3666,25399,25758.0,359.0,False,False
bike3070,25399,25750.0,351.0,False,False
veh14599,25400,26743.0,1343.0,False,False
veh14600,25401,26218.0,817.0,False,False
veh14601,25402,26044.0,642.0,True,False
truck3667,25402,25919.0,517.0,False,False
bike3071,25402,26547.0,1145.0,True,False
veh14602,25403,25588.0,185.0,False,False
veh14603,25404,25987.0,583.0,False,False
truck3668,25405,25675.0,270.0,False,False
veh14604,25405,26200.0,795.0,False,False
bike3072,25406,26564.0,1158.0,False,False
veh14605,25406,26056.0,650.0,False,False
veh14606,25407,25731.0,324.0,False,False
veh14607,25408,25875.0,467.0,True,False
truck3669,25408,25461.0,53.0,False,False
veh14608,25409,25608.0,199.0,False,False
veh14609,25410,26278.0,868.0,False,False
veh14610,25411,25784.0,373.0,False,False
truck3670,25411,25569.0,158.0,False,False
veh14611,25412,25472.0,60.0,False,False
bike3074,25413,26246.0,833.0,False,False
veh14613,25414,25994.0,580.0,False,False
truck3671,25414,25758.0,344.0,True,False
veh14614,25415,26232.0,817.0,True,False
veh14615,25416,26761.0,1345.0,False,True
bike3075,25416,27874.0,2458.0,False,False
moto206,25417,25612.0,195.0,False,False
veh14616,25417,27664.0,2247.0,False,False
truck3672,25417,25683.0,266.0,False,False
veh14617,25418,25663.0,245.0,False,False
veh14618,25419,25620.0,201.0,False,False
veh14619,25420,25512.0,92.0,False,False
truck3673,25420,26633.0,1213.0,False,False
bike3076,25420,27798.0,2378.0,False,False
veh14620,25421,26164.0,743.0,False,False
veh14621,25422,27939.0,2517.0,True,True
veh14622,25423,25997.0,574.0,True,False
truck3674,25423,26213.0,790.0,False,False
bike3077,25424,26094.0,670.0,False,False
veh14624,25425,26219.0,794.0,False,False
truck3675,25426,27878.0,2452.0,False,True
bike3078,25427,26162.0,735.0,False,False
veh14627,25428,25692.0,264.0,False,False
veh14628,25429,25933.0,504.0,True,False
truck3676,25429,26053.0,624.0,False,False
veh14629,25430,25595.0,165.0,False,False
15-2-1015-25440.0,25431,25980.0,549.0,True,False
veh14630,25431,25969.0,538.0,False,False
bike3079,25431,26686.0,1255.0,False,False
veh14631,25432,25912.0,480.0,False,False
truck3677,25432,26311.0,879.0,False,False
veh14632,25433,26357.0,924.0,True,False
veh14633,25434,26081.0,647.0,True,False
bike3080,25434,26180.0,746.0,False,False
veh14634,25435,25627.0,192.0,False,False
truck3678,25435,25766.0,331.0,False,False
veh14635,25436,26305.0,869.0,True,False
veh14636,25437,25811.0,374.0,False,False
bike3081,25438,26011.0,573.0,False,False
veh14638,25439,25660.0,221.0,False,False
veh14639,25440,26077.0,637.0,False,False
truck3679,25441,26180.0,739.0,False,False
veh14640,25441,25902.0,461.0,False,False
veh14641,25442,25968.0,526.0,False,False
veh14642,25443,27509.0,2066.0,False,True
veh14643,25444,25540.0,96.0,False,False
truck3681,25444,26201.0,757.0,True,False
veh14644,25445,25625.0,180.0,False,False
bike3083,25445,26250.0,805.0,True,False
veh14645,25446,26369.0,923.0,False,False
veh14646,25447,26112.0,665.0,False,False
truck3682,25447,25741.0,294.0,False,False
veh14647,25448,26100.0,652.0,False,False
veh14625,25449,25528.0,79.0,False,False
veh14648,25449,25877.0,428.0,False,False
bike3084,25449,26207.0,758.0,False,False
truck3683,25450,26234.0,784.0,False,False
veh14651,25452,25879.0,427.0,False,False
bike3085,25452,25603.0,151.0,False,False
veh14652,25453,26881.0,1428.0,False,False
truck3684,25453,25899.0,446.0,False,False
moto207,25453,26699.0,1246.0,True,False
veh14653,25454,26088.0,634.0,False,False
veh14654,25455,26188.0,733.0,True,False
veh14655,25456,25959.0,503.0,False,False
bike3086,25456,25891.0,435.0,False,False
veh14656,25457,25755.0,298.0,False,False
veh14658,25459,26466.0,1007.0,True,False
truck3686,25459,26366.0,907.0,False,False
bike3087,25459,26197.0,738.0,False,False
veh14659,25460,26124.0,664.0,False,False
veh14660,25461,26513.0,1052.0,False,False
veh14657,25462,27202.0,1740.0,False,True
veh14661,25462,26345.0,883.0,False,False
truck3687,25462,26830.0,1368.0,False,False
veh14662,25463,26660.0,1197.0,False,False
bike3088,25463,25919.0,456.0,False,False
veh14663,25464,25886.0,422.0,False,False
veh14664,25465,26243.0,778.0,True,False
truck3688,25465,26565.0,1100.0,False,False
veh14665,25466,25936.0,470.0,False,False
veh14666,25467,25992.0,525.0,False,False
bike3089,25467,25654.0,187.0,False,False
veh14667,25468,25749.0,281.0,False,False
truck3689,25468,25739.0,271.0,False,False
veh14668,25469,26256.0,787.0,False,False
veh14669,25470,26130.0,660.0,True,False
bike3090,25470,25952.0,482.0,False,False
veh14670,25471,25602.0,131.0,False,False
truck3690,25471,26432.0,961.0,False,False
veh14671,25472,26022.0,550.0,True,False
veh14672,25473,25842.0,369.0,False,False
veh14673,25474,26656.0,1182.0,True,False
truck3691,25474,26296.0,822.0,False,False
veh14674,25475,26264.0,789.0,False,False
veh14675,25476,25939.0,463.0,False,False
veh14676,25477,26196.0,719.0,False,False
bike3092,25477,26554.0,1077.0,False,False
