vehicle_id,depart_time,arrive_time,travel_time,is_controlled_vehicle,is_teleported_vehicle
veh14400,25201.0,25721.0,520.0,False,False
truck3600,25201.0,25564.0,363.0,False,False
bike3015,25201.0,25867.0,666.0,False,False
moto200,25201.0,25546.0,345.0,False,False
veh14401,25202.0,25800.0,598.0,True,False
veh14402,25203.0,25546.0,343.0,False,False
truck3601,25204.0,25876.0,672.0,True,False
veh14403,25204.0,25677.0,473.0,True,False
bike3016,25205.0,25750.0,545.0,False,False
veh14404,25205.0,25782.0,577.0,True,False
veh14405,25206.0,25614.0,408.0,False,False
veh14406,25207.0,25302.0,95.0,False,False
truck3602,25207.0,26423.0,1216.0,True,True
veh14407,25208.0,25677.0,469.0,False,False
veh14408,25209.0,25975.0,766.0,False,False
bike3017,25209.0,26269.0,1060.0,False,True
veh14409,25210.0,26058.0,848.0,True,False
truck3603,25210.0,25439.0,229.0,False,False
veh14410,25211.0,25280.0,69.0,False,False
veh14411,25212.0,25948.0,736.0,True,False
bike3018,25212.0,25966.0,754.0,False,False
veh14412,25213.0,25784.0,571.0,True,False
truck3604,25213.0,25396.0,183.0,False,False
veh14413,25214.0,25506.0,292.0,False,False
veh14414,25215.0,25446.0,231.0,False,False
veh14415,25216.0,25751.0,535.0,False,False
truck3605,25216.0,26151.0,935.0,False,False
bike3019,25216.0,25794.0,578.0,False,False
veh14417,25218.0,25694.0,476.0,True,False
veh14418,25219.0,25603.0,384.0,True,False
truck3606,25219.0,26265.0,1046.0,False,False
bike3020,25219.0,26361.0,1142.0,True,True
veh14419,25220.0,26122.0,902.0,False,False
veh14420,25221.0,25388.0,167.0,False,False
veh14421,25222.0,25391.0,169.0,False,False
truck3607,25222.0,25788.0,566.0,True,False
veh14422,25223.0,25491.0,268.0,False,False
bike3021,25223.0,25814.0,591.0,False,False
veh14423,25224.0,25371.0,147.0,False,False
veh14424,25225.0,25971.0,746.0,False,False
truck3608,25225.0,25540.0,315.0,False,False
veh14425,25226.0,25643.0,417.0,False,False
veh14426,25227.0,26374.0,1147.0,True,False
bike3022,25227.0,25450.0,223.0,False,False
veh14427,25228.0,25546.0,318.0,False,False
truck3609,25228.0,25573.0,345.0,False,False
veh14428,25229.0,25660.0,431.0,True,False
