vehicle_id,depart_time,arrive_time,travel_time,is_controlled_vehicle,is_teleported_vehicle
bike3016,25205.0,,,False,False
veh14404,25205.0,,,True,False
veh14409,25210.0,26400.0,1190.0,True,False
truck3603,25210.0,,,False,False
veh14414,25215.0,,,False,False
veh14419,25220.0,,,False,False
veh14424,25225.0,25970.0,745.0,False,False
truck3608,25225.0,25620.0,395.0,False,False
veh14429,25230.0,,,True,False
bike3023,25230.0,,,False,False
veh14434,25235.0,,,False,False
veh14439,25240.0,,,False,False
truck3613,25240.0,,,False,False
veh14444,25245.0,,,False,False
veh14449,25250.0,,,True,False
veh14454,25255.0,,,False,False
truck3618,25255.0,25530.0,275.0,False,False
bike3030,25255.0,,,False,False
veh14464,25265.0,,,False,False
veh14469,25270.0,,,False,False
bike3034,25270.0,,,False,False
veh14474,25275.0,,,False,False
veh14479,25280.0,,,False,False
bike3037,25280.0,,,False,False
veh14484,25285.0,,,False,False
truck3628,25285.0,,,True,False
veh14489,25290.0,25685.0,395.0,False,False
veh14494,25295.0,25735.0,440.0,True,False
bike3041,25295.0,,,False,False
veh14499,25300.0,,,False,False
truck3633,25300.0,,,False,False
bike3044,25305.0,,,False,False
veh14509,25310.0,,,False,False
veh14514,25315.0,,,False,False
truck3638,25315.0,,,False,False
bike3048,25320.0,,,False,False
veh14524,25325.0,,,False,False
veh14529,25330.0,,,False,False
truck3643,25330.0,,,False,False
bike3051,25330.0,,,False,False
veh14534,25335.0,,,False,False
veh14539,25340.0,,,False,False
veh14544,25345.0,,,False,False
truck3648,25345.0,26265.0,920.0,False,False
bike3055,25345.0,,,False,False
moto204,25345.0,,,False,False
veh14549,25350.0,,,False,False
veh14554,25355.0,,,True,False
veh14559,25360.0,,,False,False
veh14569,25370.0,,,False,False
bike3062,25370.0,,,False,False
veh14579,25380.0,,,False,False
veh14584,25385.0,25450.0,65.0,False,False
veh14589,25390.0,25855.0,465.0,False,False
truck3663,25390.0,,,True,False
veh14594,25395.0,,,False,False
bike3069,25395.0,,,True,False
veh14599,25400.0,,,False,True
truck3668,25405.0,,,False,False
veh14604,25405.0,26075.0,670.0,False,False
veh14609,25410.0,,,False,False
veh14614,25415.0,,,True,False
veh14619,25420.0,25515.0,95.0,False,False
truck3673,25420.0,,,False,False
bike3076,25420.0,,,False,False
veh14624,25425.0,,,False,False
veh14629,25430.0,,,False,False
veh14634,25435.0,,,False,False
truck3678,25435.0,,,False,False
veh14639,25440.0,,,False,False
veh14644,25445.0,,,False,False
bike3083,25445.0,,,True,False
truck3683,25450.0,,,False,False
veh14654,25455.0,25955.0,500.0,True,False
veh14659,25460.0,,,False,False
veh14664,25465.0,,,True,False
truck3688,25465.0,,,False,False
veh14669,25470.0,,,True,False
bike3090,25470.0,,,False,False
veh14674,25475.0,,,False,False
veh14679,25480.0,,,False,False
truck3693,25480.0,,,True,False
veh14684,25485.0,,,False,False
veh14689,25490.0,,,False,False
veh14694,25495.0,25995.0,500.0,False,False
truck3698,25495.0,,,False,True
veh14699,25500.0,,,False,False
veh14704,25505.0,,,False,False
veh14709,25510.0,,,False,False
truck3703,25510.0,,,False,False
veh14714,25515.0,,,True,False
veh14719,25520.0,,,True,False
bike3104,25520.0,,,False,False
veh14724,25525.0,,,False,False
truck3708,25525.0,,,False,False
moto209,25525.0,26590.0,1065.0,False,False
veh14729,25530.0,,,False,False
truck3707,25535.0,,,False,False
veh14734,25535.0,,,False,False
bike3108,25535.0,,,False,False
veh14739,25540.0,,,False,False
truck3713,25540.0,25775.0,235.0,False,False
veh14744,25545.0,,,False,False
veh14749,25550.0,26295.0,745.0,False,False
veh14754,25555.0,,,False,False
truck3718,25555.0,,,True,False
veh14759,25560.0,26120.0,560.0,True,False
veh14764,25565.0,,,False,False
veh14769,25570.0,,,False,False
veh14774,25575.0,,,False,False
veh14784,25585.0,26305.0,720.0,True,False
truck3728,25585.0,,,False,False
veh14789,25590.0,26930.0,1340.0,False,False
veh14794,25595.0,,,False,False
veh14799,25600.0,,,False,False
truck3733,25600.0,,,True,True
veh14804,25605.0,,,False,True
bike3129,25610.0,,,False,False
veh14809,25610.0,26010.0,400.0,False,False
veh14814,25615.0,,,False,False
truck3738,25615.0,,,False,False
veh14819,25620.0,,,True,False
veh14824,25625.0,,,False,False
veh14829,25630.0,,,False,False
truck3743,25630.0,26095.0,465.0,False,False
veh14839,25640.0,,,False,False
veh14844,25645.0,,,False,False
truck3748,25645.0,,,False,False
veh14849,25650.0,,,False,False
veh14854,25655.0,,,False,False
veh14859,25660.0,,,False,False
truck3753,25660.0,,,False,False
bike3143,25660.0,,,False,False
veh14864,25665.0,,,False,False
veh14869,25670.0,,,True,False
veh14874,25675.0,,,False,False
truck3758,25675.0,,,False,False
veh14879,25680.0,26645.0,965.0,False,False
veh14884,25685.0,25985.0,300.0,False,False
bike3150,25685.0,,,False,False
veh14889,25690.0,26480.0,790.0,False,False
veh14894,25695.0,,,False,False
veh14899,25700.0,,,True,False
veh14904,25705.0,26340.0,635.0,True,False
truck3768,25705.0,,,False,False
moto214,25705.0,,,False,False
veh14909,25710.0,,,False,False
bike3157,25710.0,,,True,False
veh14914,25715.0,,,False,False
veh14919,25720.0,,,False,False
veh14924,25725.0,,,False,False
veh14929,25730.0,,,False,False
veh14934,25735.0,,,False,False
truck3778,25735.0,,,False,False
bike3164,25735.0,25985.0,250.0,False,False
veh14939,25740.0,,,False,False
veh14944,25745.0,,,True,False
veh14949,25750.0,,,True,False
truck3783,25750.0,,,False,False
bike3168,25750.0,,,False,False
veh14954,25755.0,26535.0,780.0,True,False
veh14959,25760.0,26335.0,575.0,False,False
veh14964,25765.0,26380.0,615.0,False,False
truck3788,25765.0,,,False,False
bike3173,25770.0,,,False,False
veh14969,25770.0,,,True,False
veh14974,25775.0,,,False,False
bike3175,25775.0,,,False,False
veh14979,25780.0,,,False,False
truck3793,25780.0,,,False,False
veh14984,25785.0,,,False,False
bike3178,25785.0,,,False,False
truck3798,25795.0,26355.0,560.0,True,False
bike3182,25800.0,,,False,False
veh15004,25805.0,,,False,False
veh15009,25810.0,,,False,False
truck3803,25810.0,,,False,False
veh15014,25815.0,,,False,False
veh15019,25820.0,,,False,False
truck3808,25825.0,,,False,False
veh15029,25830.0,,,False,False
veh15034,25835.0,,,False,False
veh15039,25840.0,,,True,False
truck3813,25840.0,,,False,False
veh15044,25845.0,,,True,False
bike3196,25850.0,,,True,False
veh15054,25855.0,,,True,False
truck3818,25855.0,,,False,False
veh15059,25860.0,,,False,False
veh15064,25865.0,,,True,False
veh15066,25870.0,,,False,False
veh15069,25870.0,,,False,False
truck3823,25870.0,,,False,False
veh15074,25875.0,,,True,False
bike3203,25875.0,,,False,False
veh15079,25880.0,,,False,False
truck3828,25885.0,,,False,False
moto219,25885.0,26240.0,355.0,False,False
veh15083,25890.0,,,False,False
veh15089,25890.0,,,True,False
veh15099,25900.0,,,False,False
truck3833,25900.0,,,False,False
veh15104,25905.0,,,False,False
veh15109,25910.0,,,False,False
truck3838,25915.0,27400.0,1485.0,False,False
veh15119,25920.0,,,False,False
veh15124,25925.0,,,False,False
bike3217,25925.0,,,False,False
veh15129,25930.0,,,False,False
truck3843,25930.0,,,False,False
veh15134,25935.0,,,False,False
veh15139,25940.0,26675.0,735.0,True,False
veh15144,25945.0,,,True,False
truck3848,25945.0,,,False,False
veh15149,25950.0,,,False,False
bike3224,25950.0,,,False,False
veh15151,25955.0,27030.0,1075.0,True,False
veh15154,25955.0,,,True,False
veh15159,25960.0,26280.0,320.0,True,False
truck3853,25960.0,,,False,False
veh15164,25965.0,,,False,False
veh15169,25970.0,,,True,False
veh15174,25975.0,,,False,False
truck3858,25975.0,26715.0,740.0,False,False
bike3231,25975.0,,,False,False
veh15179,25980.0,,,False,False
veh15184,25985.0,,,False,False
veh15189,25990.0,,,True,False
truck3863,25990.0,,,False,False
bike3235,25990.0,,,True,False
veh15194,25995.0,26205.0,210.0,True,False
veh15199,26000.0,26350.0,350.0,False,False
veh15204,26005.0,,,False,False
truck3868,26005.0,,,False,False
veh15209,26010.0,,,False,False
veh15214,26015.0,,,False,False
veh15219,26020.0,27215.0,1195.0,False,False
truck3873,26020.0,,,False,False
veh15224,26025.0,,,False,False
bike3245,26025.0,26595.0,570.0,True,False
veh15234,26035.0,,,True,False
veh15239,26040.0,,,True,False
bike3249,26040.0,,,False,False
veh15244,26045.0,,,False,False
veh15249,26050.0,,,True,False
bike3252,26050.0,,,False,False
veh15254,26055.0,,,False,False
veh15259,26060.0,,,False,False
veh15264,26065.0,,,False,False
bike3256,26065.0,,,False,False
moto224,26065.0,27125.0,1060.0,False,False
veh15269,26070.0,,,False,False
veh15274,26075.0,,,False,False
veh15279,26080.0,,,False,False
truck3893,26080.0,,,False,False
veh15284,26085.0,,,False,False
veh15294,26095.0,,,False,False
veh15299,26100.0,,,False,False
veh15304,26105.0,,,True,False
veh15314,26115.0,,,False,False
bike3270,26115.0,,,True,False
veh15319,26120.0,,,False,False
veh15324,26125.0,26405.0,280.0,False,False
veh15329,26130.0,,,False,False
veh15334,26135.0,,,True,False
veh15339,26140.0,,,False,False
truck3913,26140.0,,,False,False
bike3277,26140.0,26680.0,540.0,False,False
veh15344,26145.0,,,False,False
veh15349,26150.0,,,False,False
veh15354,26155.0,,,True,False
truck3918,26155.0,,,True,False
veh15359,26160.0,26365.0,205.0,False,False
veh15364,26165.0,26655.0,490.0,False,False
bike3284,26165.0,,,False,False
truck3923,26170.0,,,False,False
veh15374,26175.0,,,False,False
veh15379,26180.0,,,False,False
veh15384,26185.0,,,False,False
veh15389,26190.0,,,False,False
bike3291,26190.0,,,False,False
veh15394,26195.0,,,False,False
veh15399,26200.0,,,False,False
truck3933,26200.0,,,False,False
veh15404,26205.0,,,False,False
veh15409,26210.0,26995.0,785.0,True,False
veh15414,26215.0,,,False,False
truck3938,26215.0,,,True,False
bike3298,26215.0,26925.0,710.0,False,False
veh15419,26220.0,,,False,False
veh15424,26225.0,27000.0,775.0,False,False
veh15429,26230.0,,,False,False
truck3943,26230.0,,,False,False
bike3302,26230.0,,,False,False
veh15434,26235.0,,,True,False
veh15439,26240.0,,,False,False
bike3305,26240.0,,,False,False
veh15444,26245.0,,,True,False
truck3948,26245.0,26540.0,295.0,False,False
moto229,26245.0,26360.0,115.0,False,False
veh15454,26255.0,,,False,False
bike3309,26255.0,,,False,False
veh15459,26260.0,,,False,False
truck3953,26260.0,,,False,False
veh15464,26265.0,26880.0,615.0,False,False
bike3312,26265.0,27425.0,1160.0,True,False
veh15469,26270.0,26630.0,360.0,False,False
truck3958,26275.0,,,False,False
veh15479,26280.0,,,False,False
veh15484,26285.0,,,True,False
veh15489,26290.0,,,False,False
truck3963,26290.0,,,True,False
bike3319,26290.0,,,False,False
veh15494,26295.0,,,False,False
veh15499,26300.0,,,True,False
truck3968,26305.0,,,True,False
veh15490,26310.0,,,True,False
veh15509,26310.0,,,False,False
veh15519,26320.0,,,False,False
truck3973,26320.0,,,True,False
veh15524,26325.0,,,False,False
veh15529,26330.0,26850.0,520.0,False,False
bike3330,26330.0,,,False,False
veh15437,26335.0,,,False,False
truck3978,26335.0,,,False,False
veh15539,26340.0,,,True,False
veh15544,26345.0,,,False,False
veh15549,26350.0,,,False,False
truck3983,26350.0,,,False,False
veh15554,26355.0,27020.0,665.0,False,False
bike3337,26355.0,,,False,False
veh15559,26360.0,,,True,False
veh15564,26365.0,27605.0,1240.0,False,False
truck3988,26365.0,27185.0,820.0,False,False
veh15569,26370.0,,,True,False
veh15574,26375.0,,,False,False
veh15579,26380.0,,,False,False
truck3993,26380.0,,,True,False
bike3344,26380.0,,,False,False
veh15584,26385.0,,,False,False
veh15589,26390.0,,,True,False
truck3998,26395.0,,,False,False
veh15599,26400.0,,,False,False
veh15604,26405.0,,,False,False
truck4003,26410.0,,,False,False
veh15609,26410.0,,,False,False
veh15614,26415.0,,,False,False
veh15619,26420.0,,,False,False
moto234,26425.0,,,False,False
veh15624,26425.0,,,False,False
truck4008,26425.0,28130.0,1705.0,True,False
veh15629,26430.0,,,False,False
veh15634,26435.0,,,False,False
veh15639,26440.0,,,False,False
truck4013,26440.0,,,False,False
veh15644,26445.0,,,True,False
veh15649,26450.0,,,False,False
truck4018,26455.0,,,False,False
bike3365,26455.0,,,False,False
veh15659,26460.0,,,True,False
veh15664,26465.0,,,False,False
veh15669,26470.0,,,False,False
truck4023,26470.0,,,False,False
veh15674,26475.0,,,False,False
veh15679,26480.0,,,True,False
bike3372,26480.0,,,False,False
bike3373,26485.0,,,False,False
veh15684,26485.0,,,True,False
veh15689,26490.0,,,True,False
veh15694,26495.0,,,False,False
bike3376,26495.0,27800.0,1305.0,True,False
veh15698,26500.0,,,True,False
veh15699,26500.0,,,True,False
truck4033,26500.0,26970.0,470.0,False,False
veh15709,26510.0,,,False,False
veh15714,26515.0,,,False,False
truck4038,26515.0,,,True,False
veh15719,26520.0,27605.0,1085.0,False,False
bike3383,26520.0,27010.0,490.0,False,False
veh15724,26525.0,,,False,False
veh15729,26530.0,27630.0,1100.0,True,False
truck4043,26530.0,,,False,False
bike3386,26530.0,,,False,False
veh15732,26535.0,,,True,False
veh15734,26535.0,,,True,False
veh15739,26540.0,,,True,False
veh15744,26545.0,26840.0,295.0,False,False
truck4048,26545.0,,,True,False
veh15749,26550.0,,,False,False
veh15754,26555.0,,,False,False
truck4026,26560.0,,,False,False
veh15759,26560.0,,,True,False
truck4053,26560.0,28045.0,1485.0,True,False
veh15764,26565.0,27200.0,635.0,True,False
veh15769,26570.0,,,False,False
bike3397,26570.0,,,False,False
truck4058,26575.0,,,True,False
veh15784,26585.0,27425.0,840.0,True,False
veh15789,26590.0,,,False,False
truck4063,26590.0,,,False,False
veh15794,26595.0,,,False,False
bike3404,26595.0,,,False,False
veh15799,26600.0,,,False,False
moto239,26605.0,,,False,False
veh15809,26610.0,27685.0,1075.0,True,False
veh15814,26615.0,27460.0,845.0,False,False
veh15819,26620.0,,,False,False
veh15824,26625.0,,,True,False
veh15827,26630.0,,,False,False
veh15829,26630.0,27445.0,815.0,True,False
veh15834,26635.0,,,False,False
