vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle
bike3016,25205.0,25795.0,8.0,False
veh14404,25205.0,,250.0,True
veh14409,25210.0,,599.0,True
truck3603,25210.0,25440.0,38.0,False
veh14414,25215.0,,73.0,False
veh14419,25220.0,,498.0,False
veh14424,25225.0,,411.0,False
truck3608,25225.0,,67.0,False
veh14429,25230.0,,569.0,True
bike3023,25230.0,,162.0,False
veh14434,25235.0,,55.0,False
veh14439,25240.0,,0.0,False
truck3613,25240.0,,15.0,False
veh14444,25245.0,,349.0,False
veh14449,25250.0,26610.0,473.0,True
veh14454,25255.0,,572.0,False
truck3618,25255.0,,23.0,True
bike3030,25255.0,,13.0,False
veh14464,25265.0,25445.0,39.0,False
veh14469,25270.0,,36.0,False
bike3034,25270.0,,68.0,False
veh14474,25275.0,,13.0,False
veh14479,25280.0,,261.0,False
bike3037,25280.0,,117.0,False
veh14484,25285.0,25715.0,97.0,False
truck3628,25285.0,,610.0,True
veh14489,25290.0,,192.0,False
veh14494,25295.0,,562.0,True
bike3041,25295.0,,224.0,False
veh14499,25300.0,,157.0,False
truck3633,25300.0,,428.0,False
bike3044,25305.0,,256.0,False
veh14509,25310.0,,262.0,False
veh14514,25315.0,,334.0,False
truck3638,25315.0,,159.0,False
bike3048,25320.0,,147.0,False
veh14524,25325.0,,850.0,False
veh14529,25330.0,,101.0,False
truck3643,25330.0,,627.0,False
bike3051,25330.0,,24.0,False
veh14534,25335.0,25740.0,162.0,False
veh14539,25340.0,,38.0,False
veh14544,25345.0,,165.0,False
truck3648,25345.0,,794.0,False
bike3055,25345.0,,14.0,False
moto204,25345.0,,724.0,False
veh14549,25350.0,25805.0,257.0,False
veh14554,25355.0,,800.0,True
veh14559,25360.0,,9.0,False
truck3653,25360.0,,229.0,False
veh14569,25370.0,,74.0,False
bike3062,25370.0,,343.0,False
veh14579,25380.0,,0.0,False
veh14584,25385.0,,0.0,False
veh14589,25390.0,,190.0,False
truck3663,25390.0,,383.0,True
veh14594,25395.0,26365.0,429.0,False
bike3069,25395.0,,426.0,True
veh14599,25400.0,,730.0,False
truck3668,25405.0,,0.0,False
veh14604,25405.0,26380.0,398.0,False
veh14609,25410.0,26255.0,334.0,False
veh14614,25415.0,,610.0,True
veh14619,25420.0,,0.0,False
truck3673,25420.0,,854.0,False
bike3076,25420.0,28720.0,833.0,False
veh14624,25425.0,,325.0,False
veh14629,25430.0,25600.0,0.0,False
veh14634,25435.0,,10.0,False
truck3678,25435.0,,75.0,False
veh14639,25440.0,,302.0,False
veh14644,25445.0,,29.0,False
bike3083,25445.0,26520.0,601.0,True
truck3683,25450.0,,293.0,False
veh14654,25455.0,,777.0,True
veh14659,25460.0,26055.0,162.0,False
veh14664,25465.0,,730.0,True
truck3688,25465.0,,313.0,False
veh14669,25470.0,,522.0,True
bike3090,25470.0,,97.0,False
veh14674,25475.0,26145.0,279.0,False
veh14679,25480.0,,429.0,False
truck3693,25480.0,26630.0,554.0,False
veh14684,25485.0,,125.0,False
truck3692,25490.0,25985.0,231.0,False
veh14689,25490.0,,399.0,False
veh14694,25495.0,26175.0,239.0,False
truck3698,25495.0,,981.0,False
truck3699,25500.0,,800.0,False
veh14699,25500.0,,105.0,False
veh14704,25505.0,,62.0,False
veh14709,25510.0,,105.0,False
truck3703,25510.0,,759.0,False
veh14714,25515.0,,201.0,False
veh14719,25520.0,,230.0,False
bike3104,25520.0,,218.0,False
veh14724,25525.0,26855.0,585.0,False
