vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle,is_teleported_vehicle
bike3016,25205.0,25805.0,17.0,False,False
veh14404,25205.0,,290.0,True,False
veh14409,25210.0,,691.0,True,False
truck3603,25210.0,,33.0,False,False
veh14414,25215.0,,74.0,False,False
veh14419,25220.0,,757.0,False,False
veh14424,25225.0,,412.0,False,False
truck3608,25225.0,,120.0,False,False
veh14429,25230.0,,369.0,True,False
bike3023,25230.0,,159.0,False,False
veh14434,25235.0,,54.0,False,False
veh14439,25240.0,,0.0,False,False
truck3613,25240.0,,24.0,False,False
veh14444,25245.0,,222.0,False,False
veh14449,25250.0,,449.0,True,False
veh14454,25255.0,,538.0,False,False
truck3618,25255.0,25445.0,21.0,False,False
bike3030,25255.0,,13.0,False,False
veh14460,25265.0,25870.0,195.0,False,False
veh14464,25265.0,25445.0,35.0,False,False
veh14469,25270.0,,141.0,False,False
bike3034,25270.0,,227.0,False,False
veh14474,25275.0,,13.0,False,False
veh14479,25280.0,26100.0,513.0,False,False
bike3037,25280.0,,117.0,False,False
veh14484,25285.0,,91.0,False,False
truck3628,25285.0,,314.0,True,False
veh14489,25290.0,,184.0,False,False
veh14494,25295.0,,147.0,True,False
bike3041,25295.0,,292.0,False,False
veh14499,25300.0,25725.0,152.0,False,False
truck3633,25300.0,,391.0,False,False
bike3044,25305.0,,269.0,False,False
veh14509,25310.0,,209.0,False,False
veh14514,25315.0,26160.0,321.0,False,False
truck3638,25315.0,25760.0,162.0,False,False
bike3048,25320.0,,73.0,False,False
veh14524,25325.0,,910.0,False,False
veh14529,25330.0,25845.0,122.0,False,False
truck3643,25330.0,,638.0,False,False
bike3051,25330.0,,21.0,False,False
veh14534,25335.0,,47.0,False,False
veh14539,25340.0,,34.0,False,False
veh14544,25345.0,,241.0,False,False
truck3648,25345.0,26260.0,511.0,False,False
bike3055,25345.0,26055.0,15.0,False,False
moto204,25345.0,27780.0,840.0,False,False
veh14549,25350.0,,265.0,False,False
veh14554,25355.0,,310.0,True,False
veh14559,25360.0,25545.0,96.0,False,False
truck3653,25360.0,25900.0,243.0,False,False
veh14569,25370.0,,66.0,False,False
bike3062,25370.0,28265.0,354.0,False,False
veh14579,25380.0,,0.0,False,False
veh14584,25385.0,,0.0,False,False
veh14589,25390.0,,173.0,False,False
truck3663,25390.0,26125.0,288.0,True,False
veh14594,25395.0,,489.0,False,False
bike3069,25395.0,,483.0,True,False
veh14599,25400.0,,732.0,False,False
veh14601,25405.0,,140.0,True,False
truck3668,25405.0,,0.0,False,False
veh14604,25405.0,,259.0,False,False
veh14609,25410.0,,399.0,False,False
veh14614,25415.0,,213.0,True,False
veh14619,25420.0,,0.0,False,False
bike3076,25420.0,,809.0,False,False
veh14624,25425.0,,502.0,False,False
veh14629,25430.0,,0.0,False,False
veh14634,25435.0,25625.0,19.0,False,False
truck3678,25435.0,25775.0,77.0,False,False
veh14639,25440.0,,219.0,False,False
veh14644,25445.0,,46.0,False,False
bike3083,25445.0,,571.0,True,False
truck3683,25450.0,,292.0,False,False
veh14654,25455.0,,423.0,True,False
veh14659,25460.0,,212.0,False,False
veh14664,25465.0,26045.0,174.0,True,False
truck3688,25465.0,,408.0,False,False
veh14669,25470.0,25960.0,157.0,True,False
bike3090,25470.0,,100.0,False,False
veh14674,25475.0,,253.0,False,False
veh14679,25480.0,,347.0,False,False
truck3693,25480.0,,693.0,True,False
veh14684,25485.0,,114.0,False,False
truck3692,25490.0,26155.0,364.0,False,False
veh14689,25490.0,,432.0,False,False
veh14694,25495.0,26085.0,160.0,False,False
truck3698,25495.0,,983.0,False,False
veh14699,25500.0,,73.0,False,False
veh14704,25505.0,,34.0,False,False
veh14709,25510.0,25835.0,87.0,False,False
truck3703,25510.0,,743.0,False,False
veh14714,25515.0,,124.0,True,False
veh14719,25520.0,25980.0,182.0,True,False
bike3104,25520.0,,216.0,False,False
veh14724,25525.0,,636.0,False,False
truck3708,25525.0,,671.0,False,False
moto209,25525.0,,219.0,False,False
veh14729,25530.0,,183.0,False,False
